,IDCOT3TR_Index#@#PX_LAST,IBOXIG_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,IDCOT1TR_Index#@#PX_LAST,IDCOT7TR_Index#@#PX_LAST,IDCOT20T_Index#@#PX_LAST,SPBDXUTR_Index#@#PX_LAST,LHVLTRUU_Index#@#PX_LAST,LTP5TRUU_Index#@#PX_LAST,BFU5TRUU_Index#@#PX_LAST,IBOXHY_Index#@#PX_LAST,JPEICORE_Index#@#PX_LAST,SPTR_Index#@#PX_LAST,SPE35CUN_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,NDDUJN_Index#@#PX_LAST,M1CXCAS_Index#@#PX_LAST,NDUECAXJ_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,MIMUTURN_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,M1CXBLRL_Index#@#PX_LAST,IBOV_Index#@#PX_LAST,COLCAP_Index#@#PX_LAST,SPBLPGPT_Index#@#PX_LAST,IPSA_Index#@#PX_LAST,LC07TRUU_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,PRTIPMEX_Index#@#PX_LAST,M00IMV$T_Index#@#PX_LAST,RU10VATR_Index#@#PX_LAST,M2USSNQ_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,PIPGUBER_Index#@#PX_LAST,PIPGCETE_Index#@#PX_LAST,PIPGFIX5_Index#@#PX_LAST,PIPGREA1_Index#@#PX_LAST,PIPGREA5_Index#@#PX_LAST,PIPGFX6M_Index#@#PX_LAST,LUACTRUU_Index#@#PX_LAST,LUATTRUU_Index#@#PX_LAST,LF98TRUU_Index#@#PX_LAST,BSEKTRUU_Index#@#PX_LAST,SPX_Index#@#PX_LAST,MXEU_Index#@#PX_LAST,MXJP_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,SBMT_Index#@#PX_LAST,NDUEEGFL_Index#@#PX_LAST,MN40MUE_Index#@#PX_LAST,RAG_Index#@#PX_LAST,MXEU000G_Index#@#PX_LAST,TPX_Index#@#PX_LAST,XAU_Curncy#@#PX_LAST,BCOMTR_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,DWGRSN_Index#@#PX_LAST,LPXDITU_Index#@#PX_LAST,CO1_Comdty#@#PX_LAST,CL1_Comdty#@#PX_LAST,LQD_US_EQUITY#@#PX_LAST,SHY_US_EQUITY#@#PX_LAST,IEF_US_Equity#@#PX_LAST,TLT_US_Equity#@#PX_LAST,TIP_US_Equity#@#PX_LAST,IEV_US_EQUITY#@#PX_LAST,EWJ_US_EQUITY#@#PX_LAST,EWC_US_Equity#@#PX_LAST,ILF_US_Equity#@#PX_LAST,EEM_US_EQUITY#@#PX_LAST,EWW_US_Equity#@#PX_LAST,EWZ_US_EQUITY#@#PX_LAST,IWD_US_Equity#@#PX_LAST,IWF_US_Equity#@#PX_LAST,IYR_US_Equity#@#PX_LAST,MXN_Curncy#@#PX_LAST,BRL_Curncy#@#PX_LAST,COP_Curncy#@#PX_LAST,PEN_Curncy#@#PX_LAST,CLP_Curncy#@#PX_LAST,EUR_Curncy#@#PX_LAST,JPY_Curncy#@#PX_LAST,CHN_Curncy#@#PX_LAST,UYU_Curncy#@#PX_LAST,BFCIUS_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,CHPMINDX_Index#@#PX_LAST,CNCPIYOY_Index#@#PX_LAST,CNFRBAL$_Index#@#PX_LAST,COMFCOMF_Index#@#PX_LAST,CONSCURR_Index#@#PX_LAST,CONSEXP_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,CONSSENT_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,CPURNSA_Index#@#PX_LAST,CSI_BARC_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,EUBCI_Index#@#PX_LAST,EUCCEMU_Index#@#PX_LAST,EUESEMU_Index#@#PX_LAST,EUICEMU_Index#@#PX_LAST,EUR_CURNCY#@#PX_LAST,EURUSD_BGN_Curncy#@#PX_LAST,EUSCEMU_Index#@#PX_LAST,FDDSSD_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,GJGB10_Index#@#PX_LAST,GJGB5_Index#@#PX_LAST,GT10_GOVT#@#PX_LAST,GT2_GOVT#@#PX_LAST,GT5_GOVT#@#PX_LAST,HG1_COMDTY#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,INJCJC_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,JCPTEFEY_Index#@#PX_LAST,JNC_SALE_Index#@#PX_LAST,JNCPT_Index#@#PX_LAST,JNCPTXFF_Index#@#PX_LAST,JNMBYOY_Index#@#PX_LAST,JNMTOY_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,JNWSDYOY_Index#@#PX_LAST,JPY_CURNCY#@#PX_LAST,MBAVCHNG_Index#@#PX_LAST,MXCPYOY_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,NAPMPMI_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,NFP_PCH_Index#@#PX_LAST,NFP_TCH_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,PRUSTOT_Index#@#PX_LAST,S_1_Comdty#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,USGG10YR_INDEX#@#PX_LAST,USGG30YR_INDEX#@#PX_LAST,USHBMIDX_Index#@#PX_LAST,USMMMNCH_Index#@#PX_LAST,USURTOT_Index#@#PX_LAST,VIX_INDEX#@#PX_LAST,W_1_Comdty#@#PX_LAST,COCPIYOY_Index#@#PX_LAST,COPIIYOY_Index#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,CHOVCHOV_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,PRCPYOY_Index#@#PX_LAST,PRCPMOM_Index#@#PX_LAST,PRUEUER_Index#@#PX_LAST,MXCPCHNG_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST,MXPIYOY_Index#@#PX_LAST
2004-12,64.18,141.8,1046.9,77.32,56.7803,48.2209,174.16,203.49,114.302,102.27,126.617,211.072,1799.55,1490.87,593.065,3748.68,2463.47,151.04399999999995,101.39,505.261,178.759,391.15,26196.2,468.89,3710.39,1796.48,310.49,104.381,2531.23,1.3,1163.58,597.781,1193.37,633.52,391.355,1092.55,144.935,139.94899999999998,176.479,145.954,169.185,144.537,1509.94,1374.34,769.3,113.4,1211.92,89.04,700.24,542.17,1033.13,186.311,235.92,400.412,71.2,1149.63,438.45,253.495,501.81,4026.57,263.94,40.46,43.45,111.53,81.43,84.95,88.55,105.81,37.625,43.68,17.29,16.11,22.428,25.16,22.24,66.37,49.15,61.6,11.147,2.656,2354.75,3.279,555.75,1.3554,102.63,32.72,26.4,0.407,0.62,61.2,2.4,11.076,47.0,106.7,90.9,3.0,97.1,2.2,3.3,198.6,0.2,190.3,2.54,80.85,0.32,-14.0,101.2,-3.1,1.3554,1.3554,7.7,-2.5610000000000004,2.25,2.25,1.4409999999999998,0.61,4.22,3.069,3.609,145.25,6.7,356.0,2672.0,-0.4,18.5,0.0,-0.4,4.2,50.9,2.6,1.9,102.63,-10.6,5.19,53.8,57.2,72.0,128.0,129.0,265.0,65.9,547.75,17.67,4.2182,4.8261,71.0,-20.0,5.4,13.29,307.5,5.5,4.638,6.5,2.4,2.25,87.77,3.48,-0.01,8.8,0.21,3.92,0.28,8.14
2005-01,64.17,142.91899999999995,1046.69,77.28,57.2259,49.8813,170.27,202.94,113.445,102.5,125.659,212.566,1755.68,1454.72,583.945,3661.62,2365.42,152.003,100.18,550.986,179.213,391.71,24350.6,478.29,3881.96,1809.88,312.28,102.167,2474.24,1.32,1143.32,587.17,1173.3,620.41,378.304,1075.17,145.972,140.731,177.34,146.07399999999996,169.704,145.317,1521.97,1384.37,768.3,114.25,1181.27,91.06,690.54,542.28,1038.38,183.003,251.03,386.46,72.47,1146.14,422.6,256.14,461.4,3818.85,268.35,45.92,48.2,112.9,81.4,85.69,91.71,105.82,37.02,42.36,16.5,15.8,22.309,25.09,21.54,65.21,47.48,56.35,11.187,2.6088,2365.5,3.2619,581.5,1.3039,103.7,31.28,24.7,0.457,0.2,63.0,1.9,6.494,45.0,110.9,85.7,2.9,95.5,2.3,3.0,199.0,0.2,190.7,2.86,83.57,0.33,-12.8,101.7,-3.3,1.3039,1.3039,10.1,8.106,2.25,2.25,1.33,0.535,4.13,3.276,3.696,143.5,5.7,331.0,2731.0,-0.4,-5.9,-0.3,-0.5,3.9,30.4,-4.1,1.4,103.7,7.3,4.54,58.6,56.8,69.0,94.0,136.0,200.0,65.8,514.75,16.4,4.128,4.5849,70.0,-30.0,5.3,12.82,291.0,5.43,4.4289999999999985,6.5,2.3,2.5,87.86,3.03,0.1,13.0,0.0,3.91,0.37,7.92
2005-02,63.64,141.73,1045.27,77.1,56.5016,49.2463,171.44,206.9,113.416,102.78,127.674,214.108,1792.63,1525.08,613.087,3737.07,2516.99,160.53,103.52,597.795,194.849,422.27,28139.1,550.19,4078.26,1895.2,311.0,105.707,2552.62,1.36,1167.59,606.63,1201.89,657.69,382.33,1095.19,146.309,141.58,175.253,146.313,170.41299999999995,146.102,1512.9,1373.07,779.6,115.86,1203.6,93.72,710.27,588.68,1033.89,206.928,282.24,390.198,74.32,1177.41,435.65,274.235,473.51,3914.63,277.36,50.06,51.75,111.42,81.02,84.26,90.02,105.1,38.65,43.24,17.6,17.85,24.469,26.86,25.06,67.44,48.05,58.23,11.0914,2.5875,2328.5,3.2555,574.75,1.3228,104.63,33.34,25.435,0.8540000000000001,0.18,65.3,3.9,4.357,45.0,109.2,84.4,2.9,94.1,2.4,3.0,199.4,0.2,191.8,2.41,82.51,0.12,-13.9,99.5,-5.1,1.3228,1.3228,5.7,-113.789,2.5,2.5,1.475,0.63,4.379,3.6,4.013,150.0,6.1,314.0,2703.0,-0.5,-13.0,-0.4,-0.5,1.2,26.0,-1.2,1.3,104.63,-2.4,4.27,56.0,55.5,65.5,230.0,239.0,307.0,65.9,615.5,16.44,4.3766,4.7195,69.0,16.0,5.4,12.08,337.25,5.25,4.305,6.5,2.2,2.75,87.65,1.68,-0.23,10.6,0.33,3.85,0.39,7.1
2005-03,63.43,139.656,1043.2,77.1,56.1846,48.8974,168.91,199.42,113.535,102.9,124.056,208.669,1760.89,1486.08,597.554,3659.74,2551.84,153.15,99.92,511.219,181.972,381.94,26610.7,487.12,4159.85,1961.69,308.73,103.378,2503.07,1.38,1156.1,598.306,1185.81,651.29,375.364,1077.7,146.89600000000004,142.605,174.407,146.313,171.122,147.061,1492.85,1368.6,756.93,114.75,1180.59,92.99,709.43,548.69,1031.08,190.495,258.24,382.114,74.04,1182.18,428.35,284.012,463.99,3815.52,274.01,54.29,55.4,109.59,80.87,83.69,89.33,105.33,37.7,41.96,17.85,16.355999999999998,22.533,24.13,22.78,65.81,46.87,56.1,11.1703,2.679,2374.0,3.2605,586.1,1.2964,107.15,30.16,25.525,0.331,0.4,65.3,2.7,5.733,44.0,108.0,82.8,3.2,92.6,2.3,3.1,200.1,0.4,193.3,3.24,84.06,-0.02,-14.1,98.8,-6.6,1.2964,1.2964,6.4,-71.72399999999998,2.75,2.75,1.33,0.544,4.4830000000000005,3.779,4.167,150.25,7.6,342.0,2683.0,-0.5,-19.0,-0.4,-0.5,2.0,17.1,-1.2,1.4,107.15,2.4,4.39,52.5,55.2,73.0,139.0,135.0,47.0,65.9,627.5,16.97,4.4815,4.7548,70.0,-4.0,5.2,14.02,331.0,5.03,4.9289999999999985,6.5,2.4,2.75,88.22,1.88,0.65,10.4,0.45,3.77,0.29,6.46
2005-04,64.31,141.977,1049.13,77.54,57.5674,50.8143,170.93,197.69,114.662,103.07,122.772,211.131,1727.49,1453.06,582.5790000000002,3565.58,2413.17,151.131,97.76,464.448,177.08700000000005,373.82,24843.7,517.07,3986.29,1956.98,312.48,101.097,2448.53,1.42,1157.47,587.59,1152.95,625.91,368.216,1057.29,147.917,143.753,175.44299999999996,146.313,171.637,148.22799999999995,1512.21,1392.66,749.55,115.63,1156.85,90.77,677.93,531.99,1043.28,184.693,245.59,373.21,73.0,1129.93,434.4,267.441,488.59,3944.93,267.08,51.09,49.72,110.92,81.1,85.51,92.44,106.9,37.075,41.0,16.76,16.142,22.252,23.55,21.85,64.67,46.01,59.255,11.0477,2.528,2348.4,3.2555,582.38,1.2873,104.75,27.5,25.075,0.214,0.67,65.5,1.8,4.591,42.0,104.4,77.0,3.3,87.7,2.2,3.5,200.2,0.0,194.6,3.91,84.43,-0.17,-13.0,99.1,-7.6,1.2873,1.2873,7.8,57.924,2.75,2.75,1.245,0.45,4.2,3.654,3.896,149.3,8.4,334.0,2596.0,-0.5,-7.5,-0.4,-0.5,3.0,18.2,10.8,1.9,104.75,0.2,4.6,53.0,52.2,71.0,350.0,364.0,38.0,66.1,619.25,17.32,4.1976,4.5133,67.0,-19.0,5.2,15.31,318.0,5.01,4.148,6.5,2.9,3.0,88.33,2.02,0.12,9.7,0.36,3.62,0.19,5.68
2005-05,64.85,144.1,1054.2,77.83,58.4911,52.3833,166.13,203.58,114.938,103.38,124.844,217.083,1782.46,1456.5,584.73,3533.09,2465.78,155.409,97.76,514.1,183.251,406.93,25207.1,499.74,3925.34,1968.78,316.13,102.985,2492.03,1.44,1182.87,601.735,1192.17,650.03,386.031,1087.52,150.26,145.067,180.852,146.313,169.665,149.61,1533.0,1409.67,762.86,116.97,1191.5,94.72,689.95,548.15,1051.7,198.091,262.65,391.425,76.38,1144.33,417.25,265.365,506.51,4037.65,273.22,50.73,51.97,111.18,81.23,86.81,95.0,107.29,36.865,40.48,17.22,17.504,22.956,25.87,23.79,66.21,48.31,61.475,10.879,2.4076,2338.0,3.2545,583.5,1.2304,108.57,29.3,24.1,0.358,-0.03,53.3,1.8,8.988,44.0,104.9,75.3,3.2,86.9,2.2,2.8,200.5,0.1,194.4,3.91,87.76,-0.2,-14.1,98.7,-8.6,1.2304,1.2304,9.2,-36.19,3.0,3.0,1.249,0.445,3.983,3.5780000000000003,3.737,145.65,5.9,340.0,2577.0,-0.4,-4.4,-0.2,-0.4,2.2,0.2,7.0,1.8,108.57,-2.8,4.6,49.3,50.8,58.0,150.0,177.0,132.0,66.1,680.25,16.97,3.981,4.3205,70.0,6.0,5.1,13.29,331.75,5.04,3.002,6.5,2.7,3.25,88.44,1.79,0.13,10.3,-0.25,3.58,0.19,5.03
2005-06,65.06,145.266,1057.44,77.99,58.8415,53.4373,164.33,207.08,115.147,103.69,126.858,221.257,1784.99,1474.91,593.435,3529.58,2615.19,159.75,99.1,557.3530000000002,189.477,430.64,25051.2,578.97,4038.07,2056.84,318.29,104.026,2513.59,1.47,1188.94,608.323,1202.1,674.03,384.608,1083.58,151.852,146.238,184.108,146.313,171.78,150.82,1545.57,1418.31,777.83,118.62,1191.33,97.7,708.43,565.17,1055.35,207.475,284.48,390.849,78.18,1177.2,435.5,269.832,529.91,4188.2,283.83,55.58,56.5,112.1,81.24,86.96,96.7,107.23,37.25,40.56,18.15,18.604,23.867,27.08,24.82,66.64,48.0,63.6,10.749,2.3325,2327.25,3.2535,577.75,1.2108,110.92,28.4,24.635,0.418,-0.3,57.1,1.6,9.678,44.0,113.2,85.0,3.2,96.0,2.0,2.5,200.6,0.0,194.5,3.81,89.09,-0.22,-14.4,98.6,-8.3,1.2108,1.2108,8.5,22.473000000000006,3.25,3.25,1.1740000000000002,0.41,3.915,3.637,3.7,155.35,7.4,311.0,2569.0,-0.4,20.9,-0.7,-0.4,1.7,10.8,8.6,1.4,110.92,-1.1,4.33,51.1,52.4,50.5,263.0,245.0,171.0,66.1,651.75,18.0,3.913,4.1911,72.0,-29.0,5.0,12.04,321.5,4.83,2.741,6.5,2.7,3.25,88.67,1.49,0.26,9.1,-0.1,3.56,0.24,4.52
2005-07,64.29,143.115,1055.07,77.75,57.7089,51.8286,163.27,210.48,113.97,104.04,128.342,220.938,1851.37,1527.19,616.052,3564.74,2758.43,169.99200000000005,101.69,616.906,202.721,470.71,26042.4,645.34,4210.83,2175.06,316.0,107.873,2601.4,1.5,1222.41,625.923,1247.74,702.0,403.406,1118.46,153.13,147.433,185.32,146.313,173.979,152.007,1530.31,1399.08,791.43,119.29,1234.18,100.86,723.77,602.56,1050.37,221.161,312.1,410.497,80.75,1204.98,429.8,281.9290000000001,565.56,4392.3,296.8,59.37,60.57,110.75,80.75,84.8,93.11,103.91,38.485,41.0,19.21,19.708,25.7,29.43,25.37,68.7,50.44,67.8,10.5949,2.3787,2308.0,3.2510000000000003,560.15,1.2123,112.5,27.75,24.48,0.7340000000000001,-0.09,62.1,1.8,10.546,44.0,113.5,85.5,3.0,96.5,2.1,3.2,200.9,0.1,195.4,3.23,89.35,-0.1,-14.8,99.2,-7.1,1.2123,1.2123,9.7,-53.395,3.25,3.25,1.3130000000000002,0.529,4.2780000000000005,4.019,4.123,164.45,8.2,316.0,2570.0,-0.3,-4.9,-0.3,-0.4,1.5,8.1,-3.4,1.6,112.5,-0.3,4.47,53.2,52.8,48.5,280.0,374.0,329.0,66.1,671.75,20.65,4.276,4.4706,70.0,-1.0,5.0,11.57,327.75,4.91,3.043,6.5,3.0,3.5,88.76,1.4,0.1,8.5,0.39,3.59,0.21,4.65
2005-08,65.15,145.42,1062.28,78.24,58.8648,53.5906,166.61,210.39,115.783,104.41,128.622,225.248,1834.48,1555.64,626.044,3812.76,2921.09,165.03,104.7,638.235,204.457,464.55,28044.8,695.18,4611.76,2086.25,319.87,108.692,2621.0,1.58,1209.04,623.201,1222.92,714.03,398.21,1097.0,155.303,148.765,189.883,146.313,175.84599999999998,153.439,1553.73,1421.3,792.94,121.27,1220.33,100.79,767.41,606.23,1059.73,233.501,336.1,404.669,80.91,1271.29,435.2,303.209,541.64,4324.55,305.19,67.02,68.94,111.96,81.1,86.22,95.99,105.85,39.65,44.52,20.4,20.82,26.04,29.24,28.09,68.36,49.7,64.89,10.7512,2.357,2302.0,3.2805,542.75,1.2346,110.61,25.2,24.225,0.4320000000000001,-0.36,52.0,1.3,10.593,44.0,108.2,76.9,3.1,89.1,2.1,3.6,201.1,0.1,196.4,3.66,87.58,-0.05,-14.5,99.8,-6.6,1.2346,1.2346,9.5,-51.036,3.5,3.5,1.349,0.56,4.016,3.815,3.861,169.5,8.2,318.0,2568.0,-0.3,12.7,-0.5,-0.3,1.1,5.4,-1.5,1.8,110.61,-4.5,3.95,51.8,52.4,62.5,190.0,196.0,184.0,66.2,586.75,16.95,4.0137,4.2537,67.0,-23.0,4.9,12.6,301.5,4.88,2.9210000000000003,6.5,3.0,3.75,88.6,1.22,-0.18,10.0,0.12,3.45,0.14,4.13
2005-09,64.49,142.68,1059.8,78.03,57.8466,51.6429,163.37,208.45,116.365,104.75,127.281,229.677,1849.33,1590.94,641.081,4206.7,3096.08,174.007,113.19,695.133,223.495,525.62,31583.8,709.3,5070.83,2152.82,316.89,111.963,2689.08,1.66,1214.08,631.951,1230.5,742.94,400.044,1099.64,157.126,150.07399999999996,193.591,146.313,178.69400000000005,154.762,1528.65,1402.44,785.03,122.64,1228.81,105.25,859.82,661.32,1053.87,270.118,381.85,406.309,84.07,1412.28,469.3,317.316,540.85,4403.64,315.08,63.48,66.24,109.43,80.63,84.44,92.2,105.27,40.275,48.76,21.57,24.072,28.293000000000006,32.76,33.32,68.84,49.83,64.27,10.759,2.2275,2287.4,3.34,529.75,1.2026,113.51,25.96,24.075,0.391,-0.56,58.0,0.9,7.562,39.0,98.1,63.3,4.3,76.9,2.0,4.7,201.3,0.1,198.8,3.61,89.52,0.04,-14.2,100.6,-5.5,1.2026,1.2026,9.8,35.234,3.75,3.75,1.484,0.78,4.3260000000000005,4.169,4.19,172.75,9.9,384.0,2841.0,-0.4,14.8,-0.6,-0.4,1.7,3.6,-0.1,1.8,113.51,-1.1,3.51,53.4,56.8,78.0,85.0,67.0,200.0,66.1,573.25,16.47,4.324,4.5668,65.0,-28.0,5.0,11.92,346.25,5.02,2.201,6.0,3.9,4.0,88.52,1.11,-0.09,9.3,0.4,3.35,0.48,4.04
