,SPTR_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,SPX_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,M2USSNQ_Index#@#PX_LAST
0,1919.84,2700.79,779.64,179.3,607.78,78.75,110.191,904.68,1394.46,607.48,1250.32
1,1883.5,2707.75,785.42,179.4,629.17,79.12,110.535,819.87,1366.42,637.177,1216.25
2,2067.76,2894.57,788.8,180.0,687.68,79.55,117.837,898.84,1498.58,682.784,1350.14
3,2005.55,2771.85,788.75,180.3,651.65,79.96,112.537,912.84,1452.43,650.294,1296.83
4,1964.4,2701.34,791.48,180.7,611.52,79.97,109.654,947.46,1420.6,617.547,1277.16
5,2012.83,2791.97,800.64,181.1,648.29,80.02,113.335,948.0,1454.6,664.35,1328.73
6,1981.36,2713.04,807.16,181.5,637.03,80.44,109.95,946.16,1430.83,636.655,1316.26
7,2104.43,2800.95,814.31,181.9,688.78,80.81,113.367,952.45,1517.68,694.3,1371.08
8,1993.33,2651.69,822.03,182.3,624.92,81.26,107.103,989.25,1436.51,628.623,1329.8
9,1984.91,2606.94,823.46,182.6,596.75,81.45,104.946,1022.78,1429.4,598.878,1348.24
10,1828.42,2448.33,830.19,183.1,572.17,81.5,98.409,1015.37,1314.95,510.599,1259.67
11,1837.36,2487.61,839.77,183.3,590.75,81.63,100.0,1052.34,1320.28,494.443,1255.93
12,1902.55,2535.52,853.7,183.9,567.18,81.78,102.514,1007.78,1366.01,528.602,1273.51
13,1729.07,2320.95,861.22,184.4,521.22,81.98,93.8689,988.02,1239.94,438.86,1168.01
14,1619.54,2168.12,868.29,184.7,481.08,82.4,87.5162,940.6,1160.33,391.104,1092.01
15,1745.39,2327.94,871.62,185.1,516.06,82.06,93.8525,969.97,1249.46,440.569,1173.76
16,1757.09,2297.6,878.35,185.3,516.65,82.08,92.7504,993.92,1255.82,434.085,1184.63
17,1714.32,2225.29,882.16,186.0,499.15,82.03,89.8821,966.76,1224.42,424.032,1152.68
18,1697.44,2195.55,894.93,186.4,498.12,82.17,88.4466,992.75,1211.23,413.434,1160.11
19,1591.18,2089.84,901.92,186.7,485.07,81.92,84.3524,954.27,1133.58,379.626,1081.62
20,1462.69,1905.41,911.59,187.1,453.77,81.97,76.6253,936.39,1040.94,341.723,1015.14
21,1490.58,1941.8,920.69,187.4,451.07,82.0,78.2419,929.21,1059.78,359.652,1034.24
22,1604.92,2056.38,918.32,188.1,480.73,81.6,83.0309,974.73,1139.45,394.202,1111.71
23,1618.98,2069.1,918.62,188.4,489.09,81.53,83.791,987.57,1148.08,393.461,1126.35
24,1595.35,2006.2,922.24,188.7,495.34,81.1,81.4777,981.02,1130.2,386.51,1112.96
25,1564.59,1988.56,924.66,189.1,500.44,81.07,80.8553,997.06,1106.73,370.47,1111.28
26,1623.43,2076.16,920.18,189.2,518.0,81.51,84.4773,1014.94,1147.39,383.284,1134.96
27,1525.0,2005.59,928.33,189.7,518.52,82.1,81.7697,969.42,1076.92,352.0019999999999,1051.75
28,1513.77,2008.93,936.35,190.0,519.4,82.21,81.8335,965.72,1067.14,343.486,1038.16
29,1405.94,1886.69,941.53,190.2,492.89,82.03,76.8091,916.23,989.81,311.712,980.3
30,1296.34,1727.5,945.92,190.5,462.9,82.06,70.3508,863.65,911.62,294.576,909.96
31,1304.85,1730.45,954.28,191.1,468.91,82.14,70.5072,866.19,916.07,295.456,913.37
32,1163.04,1539.93,963.87,191.3,438.52,82.53,62.7502,789.7,815.28,264.809,811.98
33,1265.41,1653.39,962.23,191.5,443.34,83.12,67.35300000000001,848.0,885.76,289.1,896.64
34,1339.89,1742.29,968.99,191.9,438.46,82.79,71.0129,865.83,936.31,304.803,937.84
35,1261.18,1657.64,982.42,192.1,429.68,82.76,67.6052,828.83,879.82,283.748,887.2
36,1228.14,1607.12,986.32,192.4,421.99,82.95,65.615,797.75,855.7,276.863,854.52
37,1209.71,1578.99,994.16,192.5,418.49,83.34,64.4383,783.17,841.15,275.592,838.29
38,1221.46,1573.78,996.54,192.5,422.99,84.27,64.1601,803.79,848.18,280.721,845.66
39,1322.07,1713.25,1004.63,192.5,448.69,84.23,69.8466,861.21,916.92,301.476,908.01
40,1391.72,1810.79,1013.9,192.9,469.99,84.2,73.8632,887.49,963.59,316.525,952.5
41,1409.48,1841.9,1017.5,193.0,477.71,83.81,75.2455,894.36,974.5,320.883,959.8
42,1434.33,1879.09,1010.78,193.4,490.79,83.68,76.892,905.41,990.31,328.867,977.19
43,1462.3,1919.46,1011.11,193.6,497.71,83.69,78.6899,908.6,1008.01,337.047,996.88
44,1446.77,1931.01,1024.18,193.7,494.12,84.16,79.1678,902.69,995.97,333.439,983.08
45,1528.62,2045.41,1020.12,194.0,525.24,84.2,83.9476,949.5,1050.71,352.167,1039.48
46,1542.07,2076.32,1020.84,194.0,530.51,84.34,85.2053,952.34,1058.2,355.8540000000001,1045.25
47,1622.94,2206.42,1028.29,194.2,542.13,84.82,90.5816,993.04,1111.92,368.161,1098.16
48,1652.73,2241.83,1031.77,194.6,555.75,85.27,92.1121,1002.77,1131.13,375.679,1108.01
49,1675.7,2279.37,1038.33,194.9,563.41,86.2,93.7793,1028.83,1144.94,378.066,1114.2
50,1650.42,2264.24,1042.63,195.5,560.73,86.6,93.2434,1020.27,1126.21,371.05300000000005,1100.66
51,1624.51,2217.87,1031.71,195.9,535.91,86.58,91.0534,1019.76,1107.31,366.739,1099.54
52,1646.8,2238.07,1029.82,196.2,549.22,86.88,91.7604,1027.78,1120.68,373.575,1106.88
53,1678.83,2284.02,1030.63,196.6,566.31,87.37,93.5758,1037.54,1140.84,378.24300000000005,1125.24
54,1623.26,2209.45,1035.56,196.8,538.21,87.54,90.5811,1007.43,1101.72,356.86,1088.67
55,1629.83,2219.16,1044.76,196.9,542.4,87.53,91.1331,1027.86,1104.24,355.098,1093.51
56,1647.48,2261.14,1044.75,197.5,571.98,87.55,93.0252,1023.76,1114.58,358.475,1101.42
57,1672.65,2316.47,1048.61,197.9,576.44,87.53,95.299,1029.94,1130.2,364.066,1101.35
58,1740.33,2438.16,1043.61,198.3,621.13,87.78,100.493,1056.44,1173.82,376.589,1145.64
59,1799.55,2531.23,1046.9,198.6,633.52,87.77,104.381,1092.55,1211.92,391.355,1193.37
60,1755.68,2474.24,1046.69,199.0,620.41,87.86,102.167,1075.17,1181.27,378.304,1173.3
61,1792.63,2552.62,1045.27,199.4,657.69,87.65,105.707,1095.19,1203.6,382.33,1201.89
62,1760.89,2503.07,1043.2,200.1,651.29,88.22,103.378,1077.7,1180.59,375.364,1185.81
63,1727.49,2448.53,1049.13,200.2,625.91,88.33,101.097,1057.29,1156.85,368.216,1152.95
64,1782.46,2492.03,1054.2,200.5,650.03,88.44,102.985,1087.52,1191.5,386.031,1192.17
65,1784.99,2513.59,1057.44,200.6,674.03,88.67,104.026,1083.58,1191.33,384.608,1202.1
66,1851.37,2601.4,1055.07,200.9,702.0,88.76,107.873,1118.46,1234.18,403.406,1247.74
67,1834.48,2621.0,1062.28,201.1,714.03,88.6,108.692,1097.0,1220.33,398.21,1222.92
68,1849.33,2689.08,1059.8,201.3,742.94,88.52,111.963,1099.64,1228.81,400.044,1230.5
69,1818.5,2623.84,1059.04,202.0,720.21,88.65,108.947,1092.54,1207.01,396.156,1224.02
70,1887.28,2711.26,1062.61,202.5,742.87,88.71,112.914,1123.42,1249.48,413.2480000000001,1273.68
71,1887.94,2771.33,1066.69,202.8,755.86,89.08,115.691,1123.67,1248.29,411.952,1258.1
72,1937.93,2895.08,1068.82,203.2,805.47,89.53,121.386,1141.96,1280.09,419.185,1273.94
73,1943.19,2890.77,1070.54,203.6,775.16,90.02,121.207,1154.47,1280.66,418.518,1281.27
74,1967.38,2954.33,1071.83,204.3,789.2,90.43,123.757,1161.59,1294.83,424.698,1296.51
75,1993.79,3044.03,1075.76,204.8,798.52,90.89,127.876,1172.2,1310.61,424.121,1308.29
76,1936.41,2940.05,1077.29,205.4,765.39,90.41,122.835,1157.63,1270.09,409.745,1261.91
77,1939.03,2939.19,1079.54,205.9,772.44,90.29,122.782,1152.35,1270.2,408.128,1263.09
78,1950.99,2957.53,1088.52,206.3,747.24,90.14,123.62,1156.88,1276.66,400.355,1258.84
79,1997.42,3034.3,1097.36,206.8,741.47,90.26,126.825,1183.09,1303.82,412.846,1291.8
80,2048.89,3070.48,1103.76,207.2,756.16,90.29,128.303,1210.26,1335.85,424.19,1326.49
81,2115.65,3183.17,1108.73,207.6,792.74,90.33,133.115,1244.71,1377.94,439.102,1377.47
82,2155.89,3261.12,1115.58,207.8,825.44,90.07,136.878,1252.84,1400.63,447.815,1408.1
83,2186.13,3327.43,1116.41,208.1,837.1,90.09,139.933,1274.2,1418.3,449.332,1418.81
84,2219.19,3366.71,1119.31,208.6,869.05,90.1,141.325,1294.18,1438.24,460.882,1435.28
85,2175.78,3349.19,1129.54,209.135,843.7,90.34,140.58100000000002,1271.68,1406.82,452.219,1408.18
86,2200.12,3410.5,1133.87,209.418,863.1,90.65,143.4,1276.22,1420.86,454.672,1420.22
87,2297.57,3560.94,1138.35,209.747,896.04,90.81,149.766,1328.63,1482.37,476.078,1489.13
88,2377.75,3660.68,1136.64,210.058,928.3,91.26,154.219,1365.42,1530.62,493.205,1544.04
89,2338.25,3632.44,1141.38,210.392,902.88,91.69,153.766,1347.9,1503.35,485.843,1522.33
90,2265.75,3552.0,1148.48,210.773,873.57,92.12,151.417,1314.72,1455.28,478.311,1488.75
91,2299.71,3549.3,1153.32,211.11900000000003,884.81,92.25,150.998,1342.1,1473.99,485.932,1509.08
