,SPTR_Index#@#PX_LAST,SBMT_Index#@#PX_LAST,PEN_Curncy#@#PX_LAST,M2USSNQ_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MIMUTURN_Index#@#PX_LAST,EUSCEMU_Index#@#PX_LAST,CSI_BARC_Index#@#PX_LAST,SPBLPGPT_Index#@#PX_LAST,UYU_Curncy#@#PX_LAST,MXCPCHNG_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,SPX_Index#@#PX_LAST,PRUSTOT_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,HG1_COMDTY#@#PX_LAST,NDUEEGFL_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,NAPMPMI_Index#@#PX_LAST,USMMMNCH_Index#@#PX_LAST,SPE35CUN_Index#@#PX_LAST,JNMBYOY_Index#@#PX_LAST,NFP_PCH_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,GT5_GOVT#@#PX_LAST,EUESEMU_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,RU10VATR_Index#@#PX_LAST,IPSA_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,BFCIUS_Index#@#PX_LAST,USGG10YR_INDEX#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,PRTIPMEX_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,M1CXBLRL_Index#@#PX_LAST,RAG_Index#@#PX_LAST,JNWSDYOY_Index#@#PX_LAST,XAU_Curncy#@#PX_LAST,EWW_US_Equity#@#PX_LAST,USHBMIDX_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,LPXDITU_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,EUCCEMU_Index#@#PX_LAST,EWJ_US_EQUITY#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,CONSCURR_Index#@#PX_LAST,GJGB5_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,DVGTR_Index#@#PX_LAST,MXJP_Index#@#PX_LAST
0,1919.84,724.034,3.484,1250.32,0.3,831.2389999999998,29.2,5.26,1822.55,11.69,1.34,189.72,1394.46,67.3,121.95,84.95,114.929,2700.79,2.7,56.7,4.0,1346.55,22.8,197.0,13.17,607.78,6.683,113.5,491.39,447.29,1151.36,5.5,0.453,6.665,52.8,4.77,2.9,218.71,633.769,-0.1,283.5,16.25,69.0,2164.0,110.191,12.0,145.376,7.1,162.07,552.984,0.0,61.5,179.3,117.3,0.955,18.0,904.68,1015.45
1,1883.5,732.559,3.4360000000000004,1216.25,0.1,735.8380000000002,31.6,5.49,1806.68,11.76,0.89,187.14,1366.42,67.3,118.86,78.7,123.83,2707.75,3.2,55.8,1.0,1403.7,9.4,103.0,12.36,629.17,6.595,115.6,497.74,414.05800000000005,1106.23,5.75,0.376,6.409,53.6,4.79,1.5,249.02,673.1,0.0,292.2,17.75,68.0,2157.0,110.535,12.0,147.342,9.3,172.17,586.0790000000002,-0.7,60.75,179.4,116.8,1.14,82.0,819.87,1014.69
2,2067.76,740.408,3.4810000000000003,1350.14,0.3,697.8989999999999,32.9,6.49,1663.07,11.8425,0.55,196.75,1498.58,67.3,126.35,80.5,124.987,2894.57,3.8,54.9,17.0,1441.88,10.9,334.0,11.33,687.68,6.314,116.8,499.4,464.579,1129.76,6.0,0.031,6.004,51.2,4.77,-3.3,254.96,710.7360000000001,0.2,279.08,18.4375,64.0,2026.0,117.837,12.0,148.139,9.2,174.49,590.794,0.0,66.0,180.0,115.4,1.145,84.0,898.84,1025.07
3,2005.55,740.762,3.4755,1296.83,0.2,804.813,31.8,6.51,1626.71,11.905,0.57,204.17,1452.43,67.3,116.72,79.0,111.653,2771.85,3.1,54.7,-4.0,1388.67,11.7,218.0,10.59,651.65,6.5379999999999985,117.3,451.36,459.173,1074.95,6.0,-0.505,6.2120000000000015,53.2,4.72,-0.4,226.99,673.9630000000002,0.4,273.55,16.6875,63.0,2027.0,112.537,12.0,134.11,6.6,170.15,559.408,1.3,61.0,180.3,117.8,1.08,58.0,912.84,998.52
4,1964.4,741.367,3.4960000000000004,1277.16,0.2,672.877,31.9,6.71,1461.69,12.0025,0.37,206.91,1420.6,67.1,109.95,81.45,106.037,2701.34,3.2,53.2,-19.0,1389.67,7.6,-119.0,10.01,611.52,6.519,118.3,431.7,464.014,1124.2,6.5,-1.5830000000000002,6.272,53.0,4.66,7.7,203.77,638.014,0.2,272.1,15.0625,63.0,1987.0,109.654,12.0,128.47899999999998,6.1,167.49,553.873,2.0,57.5,180.7,119.9,1.03,80.0,947.46,943.78
5,2012.83,757.38,3.487,1328.73,0.2,605.229,30.1,6.6,1486.79,12.115,0.59,211.07,1454.6,67.1,117.49,81.55,115.447,2791.97,3.7,51.4,17.0,1409.59,6.4,216.0,9.52,648.29,6.185,116.6,445.52,442.807,1108.67,6.5,-0.7859999999999999,6.0310000000000015,50.7,4.6,8.5,228.86,688.363,0.3,289.53,16.4375,58.0,2052.0,113.335,12.0,132.791,7.9,174.67,566.762,1.3,60.75,181.1,115.1,1.11,101.0,948.0,990.74
6,1981.36,762.195,3.4728,1316.26,0.2,559.815,32.4,6.64,1355.8,12.22,0.39,231.83,1430.83,66.9,106.42,87.45,113.026,2713.04,3.7,52.5,26.0,1395.41,5.8,196.0,9.17,637.03,6.146,117.3,422.08,448.352,1074.76,6.5,-0.073,6.0310000000000015,52.5,4.67,-0.9,223.63,657.372,0.3,277.25,16.375,59.0,2085.0,109.95,12.0,125.92,6.8,177.63,557.4780000000002,1.8,54.0,181.5,114.2,1.02,81.0,946.16,907.51
7,2104.43,773.452,3.47,1371.08,0.2,505.589,32.1,6.94,1436.92,12.3775,0.55,226.17,1517.68,66.9,110.8,88.5,115.747,2800.95,3.4,49.9,-35.0,1393.5,4.6,17.0,8.8,688.78,5.973,117.8,423.56,473.299,1123.3,6.5,0.221,5.725,48.8,4.66,4.1,234.09,717.279,0.2,277.85,16.75,60.0,2119.0,113.367,12.0,126.454,5.9,181.88,553.738,2.0,55.75,181.9,112.4,1.255,142.0,952.45,939.94
8,1993.33,781.727,3.507,1329.8,0.2,422.029,29.1,7.06,1355.56,12.2875,0.73,234.28,1436.51,66.9,103.5,92.05,108.905,2651.69,3.5,49.7,-57.0,1326.3,4.0,237.0,8.32,624.92,5.851,115.0,386.03,477.633,1109.79,6.5,-0.389,5.8020000000000005,50.6,4.64,-0.8,215.95,651.389,0.1,274.25,15.1875,60.0,2077.0,107.103,12.0,115.398,6.1,179.38,526.646,-1.7,53.0,182.3,112.0,1.17,139.0,989.25,904.72
9,1984.91,787.5239999999999,3.509,1348.24,0.2,495.221,30.4,7.9,1269.77,12.365,0.69,222.5,1429.4,66.8,96.89,84.85,105.08,2606.94,3.4,48.7,-13.0,1322.83,5.3,-22.0,8.11,596.75,5.807,116.0,357.85,489.366,1060.81,6.5,-0.292,5.751,48.2,4.62,6.5,220.64,618.938,-0.2,265.15,15.8125,62.0,2126.0,104.946,12.0,107.022,5.4,168.53,515.2330000000002,-0.7,50.75,182.6,113.6,1.07,102.0,1022.78,860.75
