PERIOD,TARGET,EDVDM,DQXAB,KHFWG,KQDOC,IRKOX,PEPYL,QVEWW,DGHGR,ICGRJ,HSIOM,EKGJX,MWBDJ,ENMEX,WBCNW,XYFRF,BIWBE,MERVJ,FGQVN,KSCSZ,CUNBJ,LEEIA,ODPOC,BRYWC,NJIIZ,TVTQH,PHCRP,XUKCD,LIMUE,VEQKA,CMPMP,USPLV,OMLJD,SMSTS,EFBBA,ZQHHT,OKQPF,XRSXD,NUCJQ,HBOKK,ZARXQ,TUCND,NYQQU,VHZVZ,FPSXN,ODZWJ,GPPZF,MRSRZ,BYSDB,OUONZ
1,0.568896754,1.452005619,0.270099295,-1.242673236,0.55336227,-1.641501123,0.115362439,3.759348267,0.977310205,-1.453209687,-1.373930918,1.687682441,-2.000843207,0.565201301,0.314839113,-2.204709665,0.110962774,2.532510085,-0.338460027,1.752504267,1.658241583,-1.21075616,0.847766299,-0.627943657,0.342082223,-0.689112382,-2.854488479,-1.418957813,1.295390638,-0.414867352,-1.294483397,0.120876643,1.651090281,0.542215042,-1.651875331,-1.533670219,-1.27887162,-0.702183475,-0.393500342,-2.299269984,3.603767574,0.234324112,-1.285256657,1.188698069,-2.060549754,-0.674947021,-0.896308678,-0.194887035,0.522644422,-0.068281687
2,0.55461296,-1.015323582,-0.389006517,-1.144499199,1.6484815,-0.21434034,-1.518691766,0.435256494,0.872577847,-0.336663221,-1.314323776,0.423879617,-0.51206849,1.916120641,-1.178765379,-0.306678627,0.542063378,-0.045704168,-0.06305647,-1.240306718,-1.992546221,-0.347228933,-0.28266723,-0.968021593,0.033212018,3.197294943,-0.323326658,2.099735163,0.339630789,-0.633678129,-1.423982795,-3.002200171,-1.305864059,-1.041317851,-1.57273943,1.284495901,-0.499376953,-1.91858005,0.243582015,-1.574065092,-0.64982077,0.893504289,1.10216793,1.264099603,-1.736371231,-0.073444585,0.185135936,1.575053745,-0.668754137,-0.212335859
3,-1.953462909,-1.199328036,1.534055484,0.438652099,-2.711694582,0.153405365,0.628183611,-1.40019132,-2.792240362,-0.596241575,1.274277722,3.512653684,-0.950875183,-1.484697809,-2.273656414,-0.14228134,0.005211449,-1.674051089,0.129814241,-1.646431232,-1.596107786,0.397143226,-1.495184562,0.840839599,-0.440626162,-0.174070507,-0.336151857,-1.247711999,0.998454805,-1.195993734,-0.513917903,0.928694281,0.364291851,-0.663190727,-0.35720333,0.008736215,0.866881052,0.533715128,0.859582787,1.185476108,1.169616614,0.543939501,-0.971218243,0.644448626,1.417315571,1.011239075,0.474122153,-0.750509595,-0.802146637,1.016154118
4,-1.433366558,-1.971312425,-1.133152379,-0.209942958,0.298972862,-0.869041892,0.942840148,1.453699525,-0.505659852,0.646121142,-0.63597493,-0.191324726,2.273004423,-1.8601437,0.429291049,-0.064168955,0.782710303,2.589843285,-0.704778877,1.868743915,-0.493837558,-1.181553827,0.608562383,-1.398847077,1.317848399,-1.753496185,0.816569314,-0.532862996,1.583400719,0.901833588,2.07807197,-1.247536215,1.474371232,0.026471974,0.478954501,0.404641614,0.738322956,2.202101093,1.212205351,0.019361963,-1.616576169,-0.7578419,1.889350693,-2.231128833,1.394158817,0.011699205,0.691851796,-0.068639469,-0.204745015,0.724044504
5,-0.137492982,-0.12824026,0.597917254,-0.7337331,2.91158944,-0.176576096,-2.379444731,0.211350941,-0.568260842,-0.112575578,-0.263675034,-1.543132485,0.262762444,1.788509477,1.2706692,1.059323431,1.839886673,0.553597497,0.161478649,-0.237429939,-2.702539457,-0.051615954,0.671676835,1.394239931,1.649872475,0.497979942,0.190309711,1.913365231,0.027932357,-0.151501371,-1.081367451,-0.886927733,2.127692274,1.132168473,-0.76911531,0.354942858,-0.016914071,-0.095268791,0.439999735,-0.66176593,-1.165027279,0.463753296,-0.3273925,2.55435322,-2.057643878,0.216443312,0.065549621,0.015293563,-0.66209217,0.086821574
6,-0.924448958,2.815313018,0.941393128,1.103629044,-2.125887266,-1.042999693,0.430088308,-2.756848012,-2.096066214,0.829051897,1.64594703,-2.301702385,-0.486853547,-0.890465964,-1.688989151,-0.675194851,-0.807189321,-1.469766671,-0.065837571,0.150718868,3.129901126,-0.439820634,-2.463152663,2.059599044,-0.63733278,-0.925221397,-1.115107222,-2.384959516,-1.124687834,-0.175640476,1.623755254,0.258470909,-1.144288298,-0.109066514,-0.838206978,-0.330686184,0.787082526,2.386955517,-0.457259523,0.725101977,1.904405003,0.485531147,-2.051381524,-0.609334187,0.395857271,0.809079054,-1.618049962,1.027881016,1.043661238,1.184767205
7,-2.253457227,2.697447476,-2.674290458,1.512821685,0.184491222,-0.541397479,-0.299733758,0.108413834,2.775806363,1.315203625,2.931983473,-4.178552598,1.59856804,2.236055861,2.186028462,1.280645291,-1.481664583,-1.635628065,-0.995421438,-0.546257361,0.487079637,-2.232175766,-0.38615255,0.846846665,-0.343275815,-3.417838074,1.291047037,-2.543628179,-2.105657102,-1.042724984,1.961608334,1.189098591,0.018660496,-0.049921404,-0.489649052,3.070099169,3.972440698,0.243845533,1.757444707,3.548065272,1.108626402,-3.169003438,0.111790776,-5.799962977,2.715844416,0.904626588,0.316504697,-1.046405751,0.886450398,-0.389231944
8,-0.47398405,0.402898353,0.148190659,0.718722777,-3.546707748,0.647933231,2.616754948,-5.085828064,1.303242456,-0.300021593,-0.73720805,-3.565318651,1.477731711,-0.234670027,1.170070948,-0.563376362,-2.158440961,-3.351887249,3.465546545,-0.940894071,1.133837821,-0.487740025,-0.084870043,-0.839456072,-1.036704011,-1.502103421,-0.731968118,-0.611316898,-3.872374824,-1.815309612,0.920034319,-0.257185916,-2.70953931,-1.038583526,0.016944147,1.221870613,3.669717951,-1.460836646,1.910461631,3.641321575,1.283970415,-2.28031571,1.987966978,-4.759573793,3.041150666,1.00949988,4.144878026,-0.186515799,-1.255490075,-0.130765431
9,0.387752,3.506540186,-1.121967814,0.435631383,1.474101786,-0.038827711,0.054327519,0.130897857,3.114283828,1.106620398,-0.921788979,-4.182315485,1.981043506,-0.641109195,3.866108844,-0.5423939,-2.365926708,-1.188499488,2.439162995,-1.468330753,3.332181268,-0.707832189,-0.612620261,-0.597168419,1.045891221,-1.810495976,-0.257642085,0.160106223,-0.493117079,-0.944948327,2.10617807,-0.194078403,-1.709372251,0.014860137,0.32125579,3.484856489,4.026937416,-3.967456136,2.756276331,0.697039618,-0.101128133,-3.964879789,2.302473299,-1.477201944,1.851291055,-1.427112979,4.040811012,1.241150824,-0.526742451,-1.545439471
10,-0.815025542,2.679714419,0.692046749,-2.511008028,1.991328324,0.213975483,-1.049273143,0.519096232,4.273896806,-0.520026139,-1.266014561,0.288705145,1.427128492,-0.484371087,3.181716229,0.289548722,-3.392085486,-0.497350466,0.713689411,-0.620751236,1.899071407,-3.126868993,0.950290034,-1.729480226,0.03210255,-0.943017645,-0.909570423,2.114668466,-0.600088233,1.202700484,-0.716879251,-1.060452554,-0.766341946,1.019650201,-2.037557034,-1.918719162,1.667899404,-5.289976832,1.249580012,1.029064446,-0.697991401,-1.725801464,3.252016883,-4.828739735,0.195095951,-2.470558934,1.649227404,-1.075042552,0.091262962,-1.287623097
11,2.366747485,4.426676022,-1.633675858,-0.415253889,2.515396563,-1.173017442,-0.442521938,2.721530045,3.786992247,-0.165076485,-1.576290441,-2.152168924,0.819986214,-0.791905877,2.610967871,0.122003024,-0.941421507,-1.581997574,-1.45290439,-1.150729234,-2.812641715,-1.186402816,1.76646533,-2.940049015,0.726231285,-0.416978085,-0.935142958,2.105088969,0.066360278,-0.647576413,0.672307215,-0.352226415,-0.12373636,3.094481568,-1.035745009,1.098043532,1.045447842,-2.485440634,0.558938263,-1.657637092,2.105252044,-0.829987062,1.635370461,-2.015098858,-0.366688121,-1.609374828,2.41616492,0.273805748,-0.228122428,-1.411327337
12,1.445170984,0.485763025,-0.559512297,-2.129737901,1.955889032,-0.639464642,0.041106194,3.40490567,3.599134664,0.338772484,0.204154351,-1.533862142,0.544107784,0.184457237,2.674099323,-0.062704846,-0.86088816,0.657022284,1.719074003,1.342933019,-2.423684241,-0.841992744,2.567432256,-2.712237809,-0.88235098,-0.232446163,-1.827310547,1.055227607,0.362245973,-0.701508506,0.52656761,-2.972397082,-2.221082273,0.935090752,-0.530331439,0.589478797,0.70439631,-2.126568727,0.2356255,-2.071124693,5.47408091,-0.52145805,0.645592082,-2.620208116,0.588378122,-0.482770765,0.98093258,-0.220098663,0.535085205,-1.043453259
