,SPTR_Index#@#PX_LAST
0,"[-0.02448356 -0.0077216   0.00247968  0.01854077  0.02151491  0.01476632
  0.00948854  0.00555658  0.00180822 -0.0002384 ]"
1,"[-0.00078165  0.02696249  0.02821347  0.02047754  0.00858208  0.00671588
  0.0035772  -0.00065666 -0.00408733 -0.00523758]"
2,"[-0.00400475  0.0204828   0.02270451  0.01599786  0.01019552  0.00384129
 -0.00104773 -0.00251382 -0.00133737  0.00055552]"
3,"[ 0.03881147  0.01820019  0.03702721  0.01367845 -0.05330885 -0.05846431
 -0.01512363  0.01170254  0.00382218 -0.02078647]"
4,"[ 0.00813564  0.02804025  0.01976782 -0.0344174  -0.03973022  0.00604721
  0.02272209  0.02826896  0.01128625 -0.01189988]"
5,"[ 0.04200494  0.02377673 -0.00400596 -0.05997312 -0.02490439 -0.00157235
  0.00645593  0.00959267  0.00870443  0.00698081]"
6,"[ 4.44368046e-02 -1.86594579e-02 -3.27424725e-02 -2.50472718e-02
 -9.21702210e-03 -5.11612446e-05  7.42693213e-03  1.45145575e-02
  2.07120829e-02  2.67563022e-02]"
7,"[-0.00262794 -0.06574865 -0.02564982  0.0005846   0.01219123  0.01743483
  0.01965066  0.02035104  0.02067613  0.01983366]"
8,"[-0.07715562 -0.00343301 -0.01839269  0.02679347  0.02867227  0.02697469
  0.02839658  0.02883126  0.03044395  0.03091465]"
9,"[-0.00042127 -0.00310816  0.00814432  0.02103543  0.02781289  0.02939879
  0.0271065   0.02068124  0.01163461  0.00158609]"
10,"[-2.12444961e-03  5.04692416e-03  1.45262695e-02  2.36797201e-02
  2.48815425e-02  2.02947370e-02  1.26173775e-02  4.86416855e-03
 -8.04124713e-05 -2.29559025e-03]"
11,"[ 0.02197907  0.02631384  0.0277536   0.02070269  0.00947796  0.00028885
 -0.00307483 -0.00226491  0.00201809  0.00780531]"
12,"[0.02301481 0.02230616 0.02005218 0.01519476 0.01236264 0.01187732
 0.01276981 0.01395466 0.0147739  0.01507667]"
13,"[0.01205536 0.02029597 0.01983237 0.01641781 0.01428064 0.01427669
 0.01553098 0.01687913 0.01768028 0.01790518]"
14,"[0.02427106 0.0184546  0.01042011 0.00772685 0.01004459 0.01264702
 0.0136829  0.01356898 0.01321722 0.01318061]"
15,"[0.00240744 0.00276798 0.00716512 0.01105525 0.01373734 0.01516442
 0.01588162 0.01638795 0.01689161 0.01738555]"
16,"[-0.00319406  0.00104212  0.00733156  0.01253849  0.01621096  0.01860128
  0.02020306  0.02146738  0.0226025   0.02363313]"
17,"[0.00973058 0.00759957 0.01002604 0.01241161 0.01450427 0.01630147
 0.01783071 0.0191729  0.02027333 0.02117375]"
18,"[0.01194109 0.00999364 0.01066564 0.0114244  0.01214057 0.01276801
 0.01327963 0.0136803  0.01398952 0.01412689]"
19,"[0.01583532 0.01185927 0.01090802 0.01023971 0.00976162 0.00920074
 0.00832842 0.00740649 0.00657021 0.00585091]"
20,"[0.00625675 0.01042454 0.01313429 0.01382878 0.01318734 0.01211776
 0.01107662 0.01021216 0.00956566 0.00894791]"
21,"[0.01273206 0.01701304 0.01932773 0.01809578 0.01514957 0.01197031
 0.00916025 0.00682124 0.0045224  0.00252802]"
22,"[0.02069633 0.02726211 0.0251121  0.01899346 0.01268742 0.00806633
 0.0057185  0.00493791 0.00476557 0.00445499]"
23,"[0.02474772 0.02528461 0.01578484 0.00554236 0.00251329 0.00593698
 0.01197628 0.01662941 0.01787296 0.01776493]"
24,"[ 0.02478123  0.01115714 -0.02379539 -0.03204398 -0.00444424  0.0268166
  0.03265999  0.02602809  0.02459377  0.03169001]"
